"","Survived","Pclass","Sex","Age","Embarked"
"1",0,3,1,22,"S"
"2",1,1,0,38,"C"
"3",1,3,0,26,"S"
"4",1,1,0,35,"S"
"5",0,3,1,35,"S"
"6",0,3,1,26,"Q"
"7",0,1,1,54,"S"
"8",0,3,1,2,"S"
"9",1,3,0,27,"S"
"10",1,2,0,14,"C"
"11",1,3,0,4,"S"
"12",1,1,0,58,"S"
"13",0,3,1,20,"S"
"14",0,3,1,39,"S"
"15",0,3,0,14,"S"
"16",1,2,0,55,"S"
"17",0,3,1,2,"Q"
"18",1,2,1,26,"S"
"19",0,3,0,31,"S"
"20",1,3,0,26,"C"
"21",0,2,1,35,"S"
"22",1,2,1,34,"S"
"23",1,3,0,15,"Q"
"24",1,1,1,28,"S"
"25",0,3,0,8,"S"
"26",1,3,0,38,"S"
"27",0,3,1,26,"C"
"28",0,1,1,19,"S"
"29",1,3,0,15,"Q"
"30",0,3,1,26,"S"
"31",0,1,1,40,"C"
"32",1,1,0,26,"C"
"33",1,3,0,15,"Q"
"34",0,2,1,66,"S"
"35",0,1,1,28,"C"
"36",0,1,1,42,"S"
"37",1,3,1,26,"C"
"38",0,3,1,21,"S"
"39",0,3,0,18,"S"
"40",1,3,0,14,"C"
"41",0,3,0,40,"S"
"42",0,2,0,27,"S"
"43",0,3,1,26,"C"
"44",1,2,0,3,"C"
"45",1,3,0,19,"Q"
"46",0,3,1,26,"S"
"47",0,3,1,26,"Q"
"48",1,3,0,15,"Q"
"49",0,3,1,26,"C"
"50",0,3,0,18,"S"
"51",0,3,1,7,"S"
"52",0,3,1,21,"S"
"53",1,1,0,49,"C"
"54",1,2,0,29,"S"
"55",0,1,1,65,"C"
"56",1,1,1,26,"S"
"57",1,2,0,21,"S"
"58",0,3,1,28,"C"
"59",1,2,0,5,"S"
"60",0,3,1,11,"S"
"61",0,3,1,22,"C"
"62",1,1,0,38,"X"
"63",0,1,1,45,"S"
"64",0,3,1,4,"S"
"65",0,1,1,26,"C"
"66",1,3,1,15,"C"
"67",1,2,0,29,"S"
"68",0,3,1,19,"S"
"69",1,3,0,17,"S"
"70",0,3,1,26,"S"
"71",0,2,1,32,"S"
"72",0,3,0,16,"S"
"73",0,2,1,21,"S"
"74",0,3,1,26,"C"
"75",1,3,1,32,"S"
"76",0,3,1,25,"S"
"77",0,3,1,26,"S"
"78",0,3,1,26,"S"
"79",1,2,1,15,"S"
"80",1,3,0,30,"S"
"81",0,3,1,22,"S"
"82",1,3,1,29,"S"
"83",1,3,0,15,"Q"
"84",0,1,1,28,"S"
"85",1,2,0,17,"S"
"86",1,3,0,33,"S"
"87",0,3,1,16,"S"
"88",0,3,1,26,"S"
"89",1,1,0,23,"S"
"90",0,3,1,24,"S"
"91",0,3,1,29,"S"
"92",0,3,1,20,"S"
"93",0,1,1,46,"S"
"94",0,3,1,26,"S"
"95",0,3,1,59,"S"
"96",0,3,1,26,"S"
"97",0,1,1,71,"C"
"98",1,1,1,23,"C"
"99",1,2,0,34,"S"
"100",0,2,1,34,"S"
"101",0,3,0,28,"S"
"102",0,3,1,26,"S"
"103",0,1,1,21,"S"
"104",0,3,1,33,"S"
"105",0,3,1,37,"S"
"106",0,3,1,28,"S"
"107",1,3,0,21,"S"
"108",1,3,1,26,"S"
"109",0,3,1,38,"S"
"110",1,3,0,15,"Q"
"111",0,1,1,47,"S"
"112",0,3,0,14,"C"
"113",0,3,1,22,"S"
"114",0,3,0,20,"S"
"115",0,3,0,17,"C"
"116",0,3,1,21,"S"
"117",0,3,1,70,"Q"
"118",0,2,1,29,"S"
"119",0,1,1,24,"C"
"120",0,3,0,2,"S"
"121",0,2,1,21,"S"
"122",0,3,1,26,"S"
"123",0,2,1,32,"C"
"124",1,2,0,32,"S"
"125",0,1,1,54,"S"
"126",1,3,1,12,"C"
"127",0,3,1,26,"Q"
"128",1,3,1,24,"S"
"129",1,3,0,15,"C"
"130",0,3,1,45,"S"
"131",0,3,1,33,"C"
"132",0,3,1,20,"S"
"133",0,3,0,47,"S"
"134",1,2,0,29,"S"
"135",0,2,1,25,"S"
"136",0,2,1,23,"C"
"137",1,1,0,19,"S"
"138",0,1,1,37,"S"
"139",0,3,1,16,"S"
"140",0,1,1,24,"C"
"141",0,3,0,26,"C"
"142",1,3,0,22,"S"
"143",1,3,0,24,"S"
"144",0,3,1,19,"Q"
"145",0,2,1,18,"S"
"146",0,2,1,19,"S"
"147",1,3,1,27,"S"
"148",0,3,0,9,"S"
"149",0,2,1,36,"S"
"150",0,2,1,42,"S"
"151",0,2,1,51,"S"
"152",1,1,0,22,"S"
"153",0,3,1,55,"S"
"154",0,3,1,40,"S"
"155",0,3,1,26,"S"
"156",0,1,1,51,"C"
"157",1,3,0,16,"Q"
"158",0,3,1,30,"S"
"159",0,3,1,26,"S"
"160",0,3,1,15,"S"
"161",0,3,1,44,"S"
"162",1,2,0,40,"S"
"163",0,3,1,26,"S"
"164",0,3,1,17,"S"
"165",0,3,1,1,"S"
"166",1,3,1,9,"S"
"167",1,1,0,26,"S"
"168",0,3,0,45,"S"
"169",0,1,1,26,"S"
"170",0,3,1,28,"S"
"171",0,1,1,61,"S"
"172",0,3,1,4,"Q"
"173",1,3,0,1,"S"
"174",0,3,1,21,"S"
"175",0,1,1,56,"C"
"176",0,3,1,18,"S"
"177",0,3,1,15,"S"
"178",0,1,0,50,"C"
"179",0,2,1,30,"S"
"180",0,3,1,36,"S"
"181",0,3,0,15,"S"
"182",0,2,1,26,"C"
"183",0,3,1,9,"S"
"184",1,2,1,1,"S"
"185",1,3,0,4,"S"
"186",0,1,1,26,"S"
"187",1,3,0,26,"Q"
"188",1,1,1,45,"S"
"189",0,3,1,40,"Q"
"190",0,3,1,36,"S"
"191",1,2,0,32,"S"
"192",0,2,1,19,"S"
"193",1,3,0,19,"S"
"194",1,2,1,3,"S"
"195",1,1,0,44,"C"
"196",1,1,0,58,"C"
"197",0,3,1,26,"Q"
"198",0,3,1,42,"S"
"199",1,3,0,15,"Q"
"200",0,2,0,24,"S"
"201",0,3,1,28,"S"
"202",0,3,1,26,"S"
"203",0,3,1,34,"S"
"204",0,3,1,45,"C"
"205",1,3,1,18,"S"
"206",0,3,0,2,"S"
"207",0,3,1,32,"S"
"208",1,3,1,26,"C"
"209",1,3,0,16,"Q"
"210",1,1,1,40,"C"
"211",0,3,1,24,"S"
"212",1,2,0,35,"S"
"213",0,3,1,22,"S"
"214",0,2,1,30,"S"
"215",0,3,1,26,"Q"
"216",1,1,0,31,"C"
"217",1,3,0,27,"S"
"218",0,2,1,42,"S"
"219",1,1,0,32,"C"
"220",0,2,1,30,"S"
"221",1,3,1,16,"S"
"222",0,2,1,27,"S"
"223",0,3,1,51,"S"
"224",0,3,1,26,"S"
"225",1,1,1,38,"S"
"226",0,3,1,22,"S"
"227",1,2,1,19,"S"
"228",0,3,1,20,"S"
"229",0,2,1,18,"S"
"230",0,3,0,15,"S"
"231",1,1,0,35,"S"
"232",0,3,1,29,"S"
"233",0,2,1,59,"S"
"234",1,3,0,5,"S"
"235",0,2,1,24,"S"
"236",0,3,0,15,"S"
"237",0,2,1,44,"S"
"238",1,2,0,8,"S"
"239",0,2,1,19,"S"
"240",0,2,1,33,"S"
"241",0,3,0,15,"C"
"242",1,3,0,15,"Q"
"243",0,2,1,29,"S"
"244",0,3,1,22,"S"
"245",0,3,1,30,"C"
"246",0,1,1,44,"Q"
"247",0,3,0,25,"S"
"248",1,2,0,24,"S"
"249",1,1,1,37,"S"
"250",0,2,1,54,"S"
"251",0,3,1,26,"S"
"252",0,3,0,29,"S"
"253",0,1,1,62,"S"
"254",0,3,1,30,"S"
"255",0,3,0,41,"S"
"256",1,3,0,29,"C"
"257",1,1,0,26,"C"
"258",1,1,0,30,"S"
"259",1,1,0,35,"C"
"260",1,2,0,50,"S"
"261",0,3,1,26,"Q"
"262",1,3,1,3,"S"
"263",0,1,1,52,"S"
"264",0,1,1,40,"S"
"265",0,3,0,15,"Q"
"266",0,2,1,36,"S"
"267",0,3,1,16,"S"
"268",1,3,1,25,"S"
"269",1,1,0,58,"S"
"270",1,1,0,35,"S"
"271",0,1,1,26,"S"
"272",1,3,1,25,"S"
"273",1,2,0,41,"S"
"274",0,1,1,37,"C"
"275",1,3,0,15,"Q"
"276",1,1,0,63,"S"
"277",0,3,0,45,"S"
"278",0,2,1,26,"S"
"279",0,3,1,7,"Q"
"280",1,3,0,35,"S"
"281",0,3,1,65,"Q"
"282",0,3,1,28,"S"
"283",0,3,1,16,"S"
"284",1,3,1,19,"S"
"285",0,1,1,26,"S"
"286",0,3,1,33,"C"
"287",1,3,1,30,"S"
"288",0,3,1,22,"S"
"289",1,2,1,42,"S"
"290",1,3,0,22,"Q"
"291",1,1,0,26,"S"
"292",1,1,0,19,"C"
"293",0,2,1,36,"C"
"294",0,3,0,24,"S"
"295",0,3,1,24,"S"
"296",0,1,1,26,"C"
"297",0,3,1,23,"C"
"298",0,1,0,2,"S"
"299",1,1,1,26,"S"
"300",1,1,0,50,"C"
"301",1,3,0,15,"Q"
"302",1,3,1,26,"Q"
"303",0,3,1,19,"S"
"304",1,2,0,15,"Q"
"305",0,3,1,26,"S"
"306",1,1,1,15,"S"
"307",1,1,0,15,"C"
"308",1,1,0,17,"C"
"309",0,2,1,30,"C"
"310",1,1,0,30,"C"
"311",1,1,0,24,"C"
"312",1,1,0,18,"C"
"313",0,2,0,26,"S"
"314",0,3,1,28,"S"
"315",0,2,1,43,"S"
"316",1,3,0,26,"S"
"317",1,2,0,24,"S"
"318",0,2,1,54,"S"
"319",1,1,0,31,"S"
"320",1,1,0,40,"C"
"321",0,3,1,22,"S"
"322",0,3,1,27,"S"
"323",1,2,0,30,"Q"
"324",1,2,0,22,"S"
"325",0,3,1,26,"S"
"326",1,1,0,36,"C"
"327",0,3,1,61,"S"
"328",1,2,0,36,"S"
"329",1,3,0,31,"S"
"330",1,1,0,16,"C"
"331",1,3,0,15,"Q"
"332",0,1,1,45,"S"
"333",0,1,1,38,"S"
"334",0,3,1,16,"S"
"335",1,1,0,26,"S"
"336",0,3,1,26,"S"
"337",0,1,1,29,"S"
"338",1,1,0,41,"C"
"339",1,3,1,45,"S"
"340",0,1,1,45,"S"
"341",1,2,1,2,"S"
"342",1,1,0,24,"S"
"343",0,2,1,28,"S"
"344",0,2,1,25,"S"
"345",0,2,1,36,"S"
"346",1,2,0,24,"S"
"347",1,2,0,40,"S"
"348",1,3,0,26,"S"
"349",1,3,1,3,"S"
"350",0,3,1,42,"S"
"351",0,3,1,23,"S"
"352",0,1,1,26,"S"
"353",0,3,1,15,"C"
"354",0,3,1,25,"S"
"355",0,3,1,26,"C"
"356",0,3,1,28,"S"
"357",1,1,0,22,"S"
"358",0,2,0,38,"S"
"359",1,3,0,15,"Q"
"360",1,3,0,15,"Q"
"361",0,3,1,40,"S"
"362",0,2,1,29,"C"
"363",0,3,0,45,"C"
"364",0,3,1,35,"S"
"365",0,3,1,26,"Q"
"366",0,3,1,30,"S"
"367",1,1,0,60,"C"
"368",1,3,0,26,"C"
"369",1,3,0,15,"Q"
"370",1,1,0,24,"C"
"371",1,1,1,25,"C"
"372",0,3,1,18,"S"
"373",0,3,1,19,"S"
"374",0,1,1,22,"C"
"375",0,3,0,3,"S"
"376",1,1,0,26,"C"
"377",1,3,0,22,"S"
"378",0,1,1,27,"C"
"379",0,3,1,20,"C"
"380",0,3,1,19,"S"
"381",1,1,0,42,"C"
"382",1,3,0,1,"C"
"383",0,3,1,32,"S"
"384",1,1,0,35,"S"
"385",0,3,1,26,"S"
"386",0,2,1,18,"S"
"387",0,3,1,1,"S"
"388",1,2,0,36,"S"
"389",0,3,1,26,"Q"
"390",1,2,0,17,"C"
"391",1,1,1,36,"S"
"392",1,3,1,21,"S"
"393",0,3,1,28,"S"
"394",1,1,0,23,"C"
"395",1,3,0,24,"S"
"396",0,3,1,22,"S"
"397",0,3,0,31,"S"
"398",0,2,1,46,"S"
"399",0,2,1,23,"S"
"400",1,2,0,28,"S"
"401",1,3,1,39,"S"
"402",0,3,1,26,"S"
"403",0,3,0,21,"S"
"404",0,3,1,28,"S"
"405",0,3,0,20,"S"
"406",0,2,1,34,"S"
"407",0,3,1,51,"S"
"408",1,2,1,3,"S"
"409",0,3,1,21,"S"
"410",0,3,0,15,"S"
"411",0,3,1,26,"S"
"412",0,3,1,26,"Q"
"413",1,1,0,33,"Q"
"414",0,2,1,26,"S"
"415",1,3,1,44,"S"
"416",0,3,0,26,"S"
"417",1,2,0,34,"S"
"418",1,2,0,18,"S"
"419",0,2,1,30,"S"
"420",0,3,0,10,"S"
"421",0,3,1,26,"C"
"422",0,3,1,21,"Q"
"423",0,3,1,29,"S"
"424",0,3,0,28,"S"
"425",0,3,1,18,"S"
"426",0,3,1,26,"S"
"427",1,2,0,28,"S"
"428",1,2,0,19,"S"
"429",0,3,1,26,"Q"
"430",1,3,1,32,"S"
"431",1,1,1,28,"S"
"432",1,3,0,26,"S"
"433",1,2,0,42,"S"
"434",0,3,1,17,"S"
"435",0,1,1,50,"S"
"436",1,1,0,14,"S"
"437",0,3,0,21,"S"
"438",1,2,0,24,"S"
"439",0,1,1,64,"S"
"440",0,2,1,31,"S"
"441",1,2,0,45,"S"
"442",0,3,1,20,"S"
"443",0,3,1,25,"S"
"444",1,2,0,28,"S"
"445",1,3,1,26,"S"
"446",1,1,1,4,"S"
"447",1,2,0,13,"S"
"448",1,1,1,34,"S"
"449",1,3,0,5,"C"
"450",1,1,1,52,"S"
"451",0,2,1,36,"S"
"452",0,3,1,26,"S"
"453",0,1,1,30,"C"
"454",1,1,1,49,"C"
"455",0,3,1,26,"S"
"456",1,3,1,29,"C"
"457",0,1,1,65,"S"
"458",1,1,0,26,"S"
"459",1,2,0,50,"S"
"460",0,3,1,26,"Q"
"461",1,1,1,48,"S"
"462",0,3,1,34,"S"
"463",0,1,1,47,"S"
"464",0,2,1,48,"S"
"465",0,3,1,26,"S"
"466",0,3,1,38,"S"
"467",0,2,1,26,"S"
"468",0,1,1,56,"S"
"469",0,3,1,26,"Q"
"470",1,3,0,15,"C"
"471",0,3,1,26,"S"
"472",0,3,1,38,"S"
"473",1,2,0,33,"S"
"474",1,2,0,23,"C"
"475",0,3,0,22,"S"
"476",0,1,1,26,"S"
"477",0,2,1,34,"S"
"478",0,3,1,29,"S"
"479",0,3,1,22,"S"
"480",1,3,0,2,"S"
"481",0,3,1,9,"S"
"482",0,2,1,26,"S"
"483",0,3,1,50,"S"
"484",1,3,0,63,"S"
"485",1,1,1,25,"C"
"486",0,3,0,15,"S"
"487",1,1,0,35,"S"
"488",0,1,1,58,"C"
"489",0,3,1,30,"S"
"490",1,3,1,9,"S"
"491",0,3,1,26,"S"
"492",0,3,1,21,"S"
"493",0,1,1,55,"S"
"494",0,1,1,71,"C"
"495",0,3,1,21,"S"
"496",0,3,1,26,"C"
"497",1,1,0,54,"C"
"498",0,3,1,26,"S"
"499",0,1,0,25,"S"
"500",0,3,1,24,"S"
"501",0,3,1,17,"S"
"502",0,3,0,21,"Q"
"503",0,3,0,15,"Q"
"504",0,3,0,37,"S"
"505",1,1,0,16,"S"
"506",0,1,1,18,"C"
"507",1,2,0,33,"S"
"508",1,1,1,26,"S"
"509",0,3,1,28,"S"
"510",1,3,1,26,"S"
"511",1,3,1,29,"Q"
"512",0,3,1,26,"S"
"513",1,1,1,36,"S"
"514",1,1,0,54,"C"
"515",0,3,1,24,"S"
"516",0,1,1,47,"S"
"517",1,2,0,34,"S"
"518",0,3,1,26,"Q"
"519",1,2,0,36,"S"
"520",0,3,1,32,"S"
"521",1,1,0,30,"S"
"522",0,3,1,22,"S"
"523",0,3,1,26,"C"
"524",1,1,0,44,"C"
"525",0,3,1,26,"C"
"526",0,3,1,40,"Q"
"527",1,2,0,50,"S"
"528",0,1,1,26,"S"
"529",0,3,1,39,"S"
"530",0,2,1,23,"S"
"531",1,2,0,2,"S"
"532",0,3,1,26,"C"
"533",0,3,1,17,"C"
"534",1,3,0,26,"C"
"535",0,3,0,30,"S"
"536",1,2,0,7,"S"
"537",0,1,1,45,"S"
"538",1,1,0,30,"C"
"539",0,3,1,26,"S"
"540",1,1,0,22,"C"
"541",1,1,0,36,"S"
"542",0,3,0,9,"S"
"543",0,3,0,11,"S"
"544",1,2,1,32,"S"
"545",0,1,1,50,"C"
"546",0,1,1,64,"S"
"547",1,2,0,19,"S"
"548",1,2,1,26,"C"
"549",0,3,1,33,"S"
"550",1,2,1,8,"S"
"551",1,1,1,17,"C"
"552",0,2,1,27,"S"
"553",0,3,1,26,"Q"
"554",1,3,1,22,"C"
"555",1,3,0,22,"S"
"556",0,1,1,62,"S"
"557",1,1,0,48,"C"
"558",0,1,1,26,"C"
"559",1,1,0,39,"S"
"560",1,3,0,36,"S"
"561",0,3,1,26,"Q"
"562",0,3,1,40,"S"
"563",0,2,1,28,"S"
"564",0,3,1,26,"S"
"565",0,3,0,15,"S"
"566",0,3,1,24,"S"
"567",0,3,1,19,"S"
"568",0,3,0,29,"S"
"569",0,3,1,26,"C"
"570",1,3,1,32,"S"
"571",1,2,1,62,"S"
"572",1,1,0,53,"S"
"573",1,1,1,36,"S"
"574",1,3,0,15,"Q"
"575",0,3,1,16,"S"
"576",0,3,1,19,"S"
"577",1,2,0,34,"S"
"578",1,1,0,39,"S"
"579",0,3,0,26,"C"
"580",1,3,1,32,"S"
"581",1,2,0,25,"S"
"582",1,1,0,39,"C"
"583",0,2,1,54,"S"
"584",0,1,1,36,"C"
"585",0,3,1,26,"C"
"586",1,1,0,18,"S"
"587",0,2,1,47,"S"
"588",1,1,1,60,"C"
"589",0,3,1,22,"S"
"590",0,3,1,26,"S"
"591",0,3,1,35,"S"
"592",1,1,0,52,"C"
"593",0,3,1,47,"S"
"594",0,3,0,15,"Q"
"595",0,2,1,37,"S"
"596",0,3,1,36,"S"
"597",1,2,0,15,"S"
"598",0,3,1,49,"S"
"599",0,3,1,26,"C"
"600",1,1,1,49,"C"
"601",1,2,0,24,"S"
"602",0,3,1,26,"S"
"603",0,1,1,26,"S"
"604",0,3,1,44,"S"
"605",1,1,1,35,"C"
"606",0,3,1,36,"S"
"607",0,3,1,30,"S"
"608",1,1,1,27,"S"
"609",1,2,0,22,"C"
"610",1,1,0,40,"S"
"611",0,3,0,39,"S"
"612",0,3,1,26,"S"
"613",1,3,0,15,"Q"
"614",0,3,1,26,"Q"
"615",0,3,1,35,"S"
"616",1,2,0,24,"S"
"617",0,3,1,34,"S"
"618",0,3,0,26,"S"
"619",1,2,0,4,"S"
"620",0,2,1,26,"S"
"621",0,3,1,27,"C"
"622",1,1,1,42,"S"
"623",1,3,1,20,"C"
"624",0,3,1,21,"S"
"625",0,3,1,21,"S"
"626",0,1,1,61,"S"
"627",0,2,1,57,"Q"
"628",1,1,0,21,"S"
"629",0,3,1,26,"S"
"630",0,3,1,26,"Q"
"631",1,1,1,80,"S"
"632",0,3,1,51,"S"
"633",1,1,1,32,"C"
"634",0,1,1,26,"S"
"635",0,3,0,9,"S"
"636",1,2,0,28,"S"
"637",0,3,1,32,"S"
"638",0,2,1,31,"S"
"639",0,3,0,41,"S"
"640",0,3,1,26,"S"
"641",0,3,1,20,"S"
"642",1,1,0,24,"C"
"643",0,3,0,2,"S"
"644",1,3,1,26,"S"
"645",1,3,0,15,"C"
"646",1,1,1,48,"C"
"647",0,3,1,19,"S"
"648",1,1,1,56,"C"
"649",0,3,1,26,"S"
"650",1,3,0,23,"S"
"651",0,3,1,26,"S"
"652",1,2,0,18,"S"
"653",0,3,1,21,"S"
"654",1,3,0,15,"Q"
"655",0,3,0,18,"Q"
"656",0,2,1,24,"S"
"657",0,3,1,26,"S"
"658",0,3,0,32,"Q"
"659",0,2,1,23,"S"
"660",0,1,1,58,"C"
"661",1,1,1,50,"S"
"662",0,3,1,40,"C"
"663",0,1,1,47,"S"
"664",0,3,1,36,"S"
"665",1,3,1,20,"S"
"666",0,2,1,32,"S"
"667",0,2,1,25,"S"
"668",0,3,1,26,"S"
"669",0,3,1,43,"S"
"670",1,1,0,26,"S"
"671",1,2,0,40,"S"
"672",0,1,1,31,"S"
"673",0,2,1,70,"S"
"674",1,2,1,31,"S"
"675",0,2,1,26,"S"
"676",0,3,1,18,"S"
"677",0,3,1,24,"S"
"678",1,3,0,18,"S"
"679",0,3,0,43,"S"
"680",1,1,1,36,"C"
"681",0,3,0,15,"Q"
"682",1,1,1,27,"C"
"683",0,3,1,20,"S"
"684",0,3,1,14,"S"
"685",0,2,1,60,"S"
"686",0,2,1,25,"C"
"687",0,3,1,14,"S"
"688",0,3,1,19,"S"
"689",0,3,1,18,"S"
"690",1,1,0,15,"S"
"691",1,1,1,31,"S"
"692",1,3,0,4,"C"
"693",1,3,1,26,"S"
"694",0,3,1,25,"C"
"695",0,1,1,60,"S"
"696",0,2,1,52,"S"
"697",0,3,1,44,"S"
"698",1,3,0,15,"Q"
"699",0,1,1,49,"C"
"700",0,3,1,42,"S"
"701",1,1,0,18,"C"
"702",1,1,1,35,"S"
"703",0,3,0,18,"C"
"704",0,3,1,25,"Q"
"705",0,3,1,26,"S"
"706",0,2,1,39,"S"
"707",1,2,0,45,"S"
"708",1,1,1,42,"S"
"709",1,1,0,22,"S"
"710",1,3,1,15,"C"
"711",1,1,0,24,"C"
"712",0,1,1,26,"S"
"713",1,1,1,48,"S"
"714",0,3,1,29,"S"
"715",0,2,1,52,"S"
"716",0,3,1,19,"S"
"717",1,1,0,38,"C"
"718",1,2,0,27,"S"
"719",0,3,1,26,"Q"
"720",0,3,1,33,"S"
"721",1,2,0,6,"S"
"722",0,3,1,17,"S"
"723",0,2,1,34,"S"
"724",0,2,1,50,"S"
"725",1,1,1,27,"S"
"726",0,3,1,20,"S"
"727",1,2,0,30,"S"
"728",1,3,0,15,"Q"
"729",0,2,1,25,"S"
"730",0,3,0,25,"S"
"731",1,1,0,29,"S"
"732",0,3,1,11,"C"
"733",0,2,1,26,"S"
"734",0,2,1,23,"S"
"735",0,2,1,23,"S"
"736",0,3,1,28,"S"
"737",0,3,0,48,"S"
"738",1,1,1,35,"C"
"739",0,3,1,26,"S"
"740",0,3,1,26,"S"
"741",1,1,1,26,"S"
"742",0,1,1,36,"S"
"743",1,1,0,21,"C"
"744",0,3,1,24,"S"
"745",1,3,1,31,"S"
"746",0,1,1,70,"S"
"747",0,3,1,16,"S"
"748",1,2,0,30,"S"
"749",0,1,1,19,"S"
"750",0,3,1,31,"Q"
"751",1,2,0,4,"S"
"752",1,3,1,6,"S"
"753",0,3,1,33,"S"
"754",0,3,1,23,"S"
"755",1,2,0,48,"S"
"756",1,2,1,15,"S"
"757",0,3,1,28,"S"
"758",0,2,1,18,"S"
"759",0,3,1,34,"S"
"760",1,1,0,33,"S"
"761",0,3,1,26,"S"
"762",0,3,1,41,"S"
"763",1,3,1,20,"C"
"764",1,1,0,36,"S"
"765",0,3,1,16,"S"
"766",1,1,0,51,"S"
"767",0,1,1,40,"C"
"768",0,3,0,30,"Q"
"769",0,3,1,26,"Q"
"770",0,3,1,32,"S"
"771",0,3,1,24,"S"
"772",0,3,1,48,"S"
"773",0,2,0,57,"S"
"774",0,3,1,26,"C"
"775",1,2,0,54,"S"
"776",0,3,1,18,"S"
"777",0,3,1,26,"Q"
"778",1,3,0,5,"S"
"779",0,3,1,26,"Q"
"780",1,1,0,43,"S"
"781",1,3,0,13,"C"
"782",1,1,0,17,"S"
"783",0,1,1,29,"S"
"784",0,3,1,26,"S"
"785",0,3,1,25,"S"
"786",0,3,1,25,"S"
"787",1,3,0,18,"S"
"788",0,3,1,8,"Q"
"789",1,3,1,1,"S"
"790",0,1,1,46,"C"
"791",0,3,1,26,"Q"
"792",0,2,1,16,"S"
"793",0,3,0,15,"S"
"794",0,1,1,26,"C"
"795",0,3,1,25,"S"
"796",0,2,1,39,"S"
"797",1,1,0,49,"S"
"798",1,3,0,31,"S"
"799",0,3,1,30,"C"
"800",0,3,0,30,"S"
"801",0,2,1,34,"S"
"802",1,2,0,31,"S"
"803",1,1,1,11,"S"
"804",1,3,1,15,"C"
"805",1,3,1,27,"S"
"806",0,3,1,31,"S"
"807",0,1,1,39,"S"
"808",0,3,0,18,"S"
"809",0,2,1,39,"S"
"810",1,1,0,33,"S"
"811",0,3,1,26,"S"
"812",0,3,1,39,"S"
"813",0,2,1,35,"S"
"814",0,3,0,6,"S"
"815",0,3,1,30,"S"
"816",0,1,1,26,"S"
"817",0,3,0,23,"S"
"818",0,2,1,31,"C"
"819",0,3,1,43,"S"
"820",0,3,1,10,"S"
"821",1,1,0,52,"S"
"822",1,3,1,27,"S"
"823",0,1,1,38,"S"
"824",1,3,0,27,"S"
"825",0,3,1,2,"S"
"826",0,3,1,26,"Q"
"827",0,3,1,26,"S"
"828",1,2,1,1,"C"
"829",1,3,1,26,"Q"
"830",1,1,0,62,"X"
"831",1,3,0,15,"C"
"832",1,2,1,15,"S"
"833",0,3,1,26,"C"
"834",0,3,1,23,"S"
"835",0,3,1,18,"S"
"836",1,1,0,39,"C"
"837",0,3,1,21,"S"
"838",0,3,1,26,"S"
"839",1,3,1,32,"S"
"840",1,1,1,26,"C"
"841",0,3,1,20,"S"
"842",0,2,1,16,"S"
"843",1,1,0,30,"C"
"844",0,3,1,34,"C"
"845",0,3,1,17,"S"
"846",0,3,1,42,"S"
"847",0,3,1,26,"S"
"848",0,3,1,35,"C"
"849",0,2,1,28,"S"
"850",1,1,0,26,"C"
"851",0,3,1,4,"S"
"852",0,3,1,74,"S"
"853",0,3,0,9,"C"
"854",1,1,0,16,"S"
"855",0,2,0,44,"S"
"856",1,3,0,18,"S"
"857",1,1,0,45,"S"
"858",1,1,1,51,"S"
"859",1,3,0,24,"C"
"860",0,3,1,26,"C"
"861",0,3,1,41,"S"
"862",0,2,1,21,"S"
"863",1,1,0,48,"S"
"864",0,3,0,15,"S"
"865",0,2,1,24,"S"
"866",1,2,0,42,"S"
"867",1,2,0,27,"C"
"868",0,1,1,31,"S"
"869",0,3,1,26,"S"
"870",1,3,1,4,"S"
"871",0,3,1,26,"S"
"872",1,1,0,47,"S"
"873",0,1,1,33,"S"
"874",0,3,1,47,"S"
"875",1,2,0,28,"C"
"876",1,3,0,15,"C"
"877",0,3,1,20,"S"
"878",0,3,1,19,"S"
"879",0,3,1,26,"S"
"880",1,1,0,56,"C"
"881",1,2,0,25,"S"
"882",0,3,1,33,"S"
"883",0,3,0,22,"S"
"884",0,2,1,28,"S"
"885",0,3,1,25,"S"
"886",0,3,0,39,"Q"
"887",0,2,1,27,"S"
"888",1,1,0,19,"S"
"889",0,3,0,15,"S"
"890",1,1,1,26,"C"
"891",0,3,1,32,"Q"
